show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,added_year,added_month,genres,countries,Movie,TV Show
81094391,sugar rush christmas,no director listed,"hunter march, candace nelson, adriano zumbo",united states,2019-11-29,2019,tv-pg,1 season,reality tv,"it's everything you love about ""sugar rush"" – with a holly jolly holiday twist – in this christmas-themed spin on competitive baking.",2019.0,November,['reality tv'],['united states'],False,True
81172908,the accidental spy,roger russell,"ramsey nouah, christine allado, ayo makun, emmanuel edunjobi, thenjiwe moseley, miguel a. núñez jr., bucci franklin",nigeria,2019-11-29,2017,tv-14,104 min,"action & adventure, comedies, international movies","nursing a broken heart, an it specialist moves to london to audition for a reality tv show that unexpectedly turns into a real-life cartel drama.",2019.0,November,"['action & adventure', 'comedies', 'international movies']",['nigeria'],True,False
81152641,the charming stepmom,no director listed,"shahkrit yamnarm, view wannarot sontichai, krittanai arsalprakit, ployshompoo supasap, boriboon chanrueng, shawankorn wanthanapisitkul, duangta toongkamanee, daraneenuch pasutanavin, phuwin tangsakyuen, nuntasai pisolyabut, pimmara charoenpakdee, thanawat rattanakitpaisan",country not specified,2019-11-29,2019,tv-14,1 season,"international tv shows, romantic tv shows, tv comedies","a quirky fashion student becomes the nanny of a handsome widower’s three kids, experiencing a series of silly antics and schemes.",2019.0,November,"['international tv shows', 'romantic tv shows', 'tv comedies']",['country not specified'],False,True
81172901,the island,toka mcbaror,"sambasa nzeribe, segun arinze, tokunbo idowu, femi adebayo",nigeria,2019-11-29,2018,tv-14,93 min,"dramas, international movies, thrillers","when a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.",2019.0,November,"['dramas', 'international movies', 'thrillers']",['nigeria'],True,False
80990849,the movies that made us,no director listed,no cast listed,united states,2019-11-29,2019,tv-ma,1 season,docuseries,"these blockbusters brought us together and gave us the time of our lives. meet the actors, directors and industry insiders who made them happen.",2019.0,November,['docuseries'],['united states'],False,True
81033086,holiday rush,leslie small,"romany malco, sonequa martin-green, darlene love, deon cole, la la anthony, deysha nelson, amarr m. wooten, selena-marie alphonse, andrea-marie alphonse",united states,2019-11-28,2019,tv-pg,94 min,"children & family movies, dramas",a widowed radio dj and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before christmas.,2019.0,November,"['children & family movies', 'dramas']",['united states'],True,False
80156799,levius,no director listed,"nobunaga shimazaki, junichi suwabe, takahiro sakurai, ayane sakura, hochu otsuka, daisuke ono, saori hayami, mamoru miyano",japan,2019-11-28,2019,tv-14,1 season,"anime series, international tv shows",young levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. forces outside the ring have their eye on him.,2019.0,November,"['anime series', 'international tv shows']",['japan'],False,True
81161538,lugar de mulher,no director listed,no cast listed,brazil,2019-11-28,2019,tv-ma,1 season,"international tv shows, stand-up comedy & talk shows, tv comedies","four comedians from brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.",2019.0,November,"['international tv shows', 'stand-up comedy & talk shows', 'tv comedies']",['brazil'],False,True
80997965,merry happy whatever,no director listed,"dennis quaid, bridgit mendler, brent morin, ashley tisdale, siobhan murphy, adam rose, elizabeth ho, hayes macarthur, garcelle beauvais, tyler ritter, mason davis, lucas jaye",united states,2019-11-28,2019,tv-pg,1 season,tv comedies,"a struggling la musician tries to win over his new girlfriend's gruff dad and quirky, tight-knit siblings on a 10-day christmas visit to philadelphia.",2019.0,November,['tv comedies'],['united states'],False,True
81018979,mythomaniac,no director listed,"marina hands, mathieu demy, marie drion, jérémy gillet, zélie rhixon, yves jacques, jean-charles clichet, julia faure, andrea roncato, linh dan pham",france,2019-11-28,2019,tv-ma,1 season,"international tv shows, tv comedies, tv dramas","burned out and taken for granted, a working mom suspects her partner is cheating, so to win back his attentions, she feigns a medical diagnosis.",2019.0,November,"['international tv shows', 'tv comedies', 'tv dramas']",['france'],False,True
60020826,the score,frank oz,"robert de niro, edward norton, marlon brando, angela bassett, gary farmer, paul soles, jamie harrold, serge houde","germany, canada, united states",2019-11-28,2001,r,124 min,"dramas, thrillers","ready-to-retire safecracker nick, flamboyant fence max and talented but volatile thief jackie team up to rob the montreal customs house.",2019.0,November,"['dramas', 'thrillers']","['germany', 'canada', 'united states']",True,False
81002391,broken,no director listed,no cast listed,united states,2019-11-27,2019,tv-14,1 season,docuseries,this investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.,2019.0,November,['docuseries'],['united states'],False,True
70101696,defiance,edward zwick,"daniel craig, liev schreiber, jamie bell, alexa davalos, allan corduner, mark feuerstein, tomas arana, jodhi may, kate fahy, iddo goldberg, george mackay, iben hjejle, martin hancock, jacek koman, ravil isyanov",united states,2019-11-27,2008,r,137 min,"action & adventure, dramas","in this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 jewish refugees during world war ii.",2019.0,November,"['action & adventure', 'dramas']",['united states'],True,False
81194544,evvarikee cheppoddu,basava shankar eeday,"rakesh varre, gargeyi, vamsi raj nekkanti, d p ghani, k prasanna",india,2019-11-27,2019,tv-14,134 min,"comedies, international movies, romantic movies","when caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",2019.0,November,"['comedies', 'international movies', 'romantic movies']",['india'],True,False
80995081,little singham: mahabali,prakash satam,"saumya daan, sonal kaushal, anamaya verma, ganesh divekar, neshma chemburkar",country not specified,2019-11-27,2019,tv-y7,69 min,"children & family movies, comedies","in a journey back in time to the ancient city of mirchigadh, little singham vies for the title of ultimate warrior and fights a zombie king’s army.",2019.0,November,"['children & family movies', 'comedies']",['country not specified'],True,False
81177504,the body remembers when the world broke open,"elle-máijá tailfeathers, kathleen hepburn","violet nelson, elle-máijá tailfeathers, charlie hannah, barbara eve harris, sonny surowiec, jay cardinal villeneuve, tony massil, aidan dee, james angus cowan, anthony bolognese","canada, norway",2019-11-27,2019,tv-ma,106 min,"dramas, independent movies","after a traumatic event, two indigenous women in vancouver are brought together and form a deep bond despite leading different lives.",2019.0,November,"['dramas', 'independent movies']","['canada', 'norway']",True,False
80175798,the irishman,martin scorsese,"robert de niro, al pacino, joe pesci, harvey keitel, ray romano, bobby cannavale, anna paquin, stephen graham, stephanie kurtzuba, kathrine narducci, welker white, jesse plemons, jack huston, domenick lombardozzi, louis cancelmi, paul herman, gary basaraba, marin ireland, sebastian maniscalco, steven van zandt",united states,2019-11-27,2019,r,209 min,dramas,hit man frank sheeran looks back at the secrets he kept as a loyal member of the bufalino crime family in this acclaimed film from martin scorsese.,2019.0,November,['dramas'],['united states'],True,False
81062293,mike birbiglia: the new one,seth barrish,mike birbiglia,united states,2019-11-26,2019,tv-ma,86 min,stand-up comedy,comedian mike birbiglia hits broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,2019.0,November,['stand-up comedy'],['united states'],True,False
80235524,super monsters save christmas,steve ball,"elyse maloway, vincent tong, erin mathews, andrea libman, alessandro juliani, nicole anthony, diana kaarina, ian james corlett, britt mckillip, kathleen barr, gigi saul guerrero, brian drummond",united states,2019-11-26,2019,tv-y,24 min,children & family movies,"it's christmas eve in pitchfork pines, and the super monsters are joining forces to deck the halls, find santa's missing reindeer and save the holiday!",2019.0,November,['children & family movies'],['united states'],True,False
81204911,the crime,no director listed,"magdalena boczarska, wojciech zieliński, joanna kulig, radosław pazura, magdalena zawadzka, dorota kolak, zdzislaw wardejn, małgorzata rożniatowska, aleksandra popławska, lukasz nowicki, tamara arciuch, rafał cieszyński, karolina kominek",poland,,2015,tv-14,2 seasons,"crime tv shows, international tv shows, tv dramas",the peaceful lives of the residents inhabiting a breathtaking seaside town are shaken following a series of macabre crimes.,,,"['crime tv shows', 'international tv shows', 'tv dramas']",['poland'],False,True
81035121,true: winter wishes,no director listed,"michela luci, jamie watson, eric peterson, anna claire bartlam, nicolas aqui, cory doran, julie lemieux, derek mcgrath",country not specified,2019-11-26,2019,tv-y,46 min,movies,"an ice crystal from a frosty realm is freezing everything in the rainbow kingdom, its citizens too! can true save winter wishfest – and her friends?",2019.0,November,['movies'],['country not specified'],True,False
81140259,zona rosa,no director listed,"manu nna, ana julia yeyé, ray contreras, pablo morán",mexico,2019-11-26,2019,tv-ma,1 season,"international tv shows, spanish-language tv shows, stand-up comedy & talk shows",an assortment of talent takes the stage for a night of honest stand-up featuring four of mexico's funniest lgbtq comedians.,2019.0,November,"['international tv shows', 'spanish-language tv shows', 'stand-up comedy & talk shows']",['mexico'],False,True
80241855,dirty john,no director listed,"connie britton, eric bana, juno temple, julia garner, jean smart, keiko agena, jeff perry, kevin zegers, jake abel",united states,2019-11-25,2018,tv-14,1 season,"crime tv shows, tv dramas, tv mysteries",businesswoman debra newell's life unravels when she falls for the lies and manipulation of con man john meehan. based on the true-crime podcast.,2019.0,November,"['crime tv shows', 'tv dramas', 'tv mysteries']",['united states'],False,True
81215481,pranaam,sanjiv jaiswal,"rajeev khandelwal, samiksha singh, s.m. zaheer, vikram gokhale, meenakshi sethi, atul kulkarni, abhimanyu singh, aniruddha dave",india,2019-11-25,2019,tv-ma,117 min,"action & adventure, dramas, international movies","aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",2019.0,November,"['action & adventure', 'dramas', 'international movies']",['india'],True,False
81005044,what the f* is going on?,"marta jaenes, rosa márquez",no cast listed,country not specified,2019-11-25,2019,tv-ma,87 min,"documentaries, international movies","featuring extensive interviews, this documentary takes a critical look at the gender inequality in spain as the feminist movement aims to shift reality.",2019.0,November,"['documentaries', 'international movies']",['country not specified'],True,False
81218079,awake,"aleksandr chernyaev, fedor lyass","jonathan rhys meyers, francesca eastwood, malik yoba, william forsythe, james austin kerr, jeremy parr",united states,2019-11-24,2019,tv-ma,92 min,thrillers,"after an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.",2019.0,November,['thrillers'],['united states'],True,False
60028294,popeye,robert altman,"robin williams, shelley duvall, ray walston, paul dooley, paul l. smith, richard libertini, donald moffat, macintyre dixon, roberta maxwell, donovan scott",united states,2019-11-24,1980,pg,114 min,"action & adventure, children & family movies, comedies","during a storm that wrecks his ship, super-strong sailor popeye washes ashore and winds up rooming at the oyl household, where he meets olive.",2019.0,November,"['action & adventure', 'children & family movies', 'comedies']",['united states'],True,False
80125671,shot caller,ric roman waugh,"nikolaj coster-waldau, omari hardwick, lake bell, jon bernthal, emory cohen, jeffrey donovan, evan jones, benjamin bratt, holt mccallany",united states,2019-11-24,2017,r,121 min,"dramas, thrillers","trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",2019.0,November,"['dramas', 'thrillers']",['united states'],True,False
80198001,strong girl bong-soon,no director listed,"park bo-young, park hyung-sik, ji soo, shim hye-jin, yu jae-myeong, jeon seok-ho, im won-hee, kim won-hae",south korea,2019-11-24,2017,tv-14,1 season,"crime tv shows, international tv shows, korean tv shows","born with supernatural strength, bong-soon fights evil and procures justice while getting tangled in a love triangle with her ceo boss and cop crush.",2019.0,November,"['crime tv shows', 'international tv shows', 'korean tv shows']",['south korea'],False,True
60020948,charlotte's web,"charles a. nichols, iwao takamoto","debbie reynolds, charles nelson reilly, paul lynde, henry gibson, rex allen, danny bonaduce, pamelyn ferdin, don messick, agnes moorehead, martha scott, john stephenson, herb vigran, dave madden",united states,2019-11-23,1973,g,94 min,"children & family movies, classic movies","follow the adventures of wilbur the pig, templeton the rat and charlotte the spider in this animated musical version of e.b. white's timeless story.",2019.0,November,"['children & family movies', 'classic movies']",['united states'],True,False
70235384,end of watch,david ayer,"jake gyllenhaal, michael peña, natalie martinez, anna kendrick, david harbour, frank grillo, america ferrera, cle sloan, jaime fitzsimons, cody horn, shondrella avery, america ferrara",united states,2019-11-23,2012,r,109 min,action & adventure,"officers taylor and zavala patrol the streets of south central los angeles, an area of the city ruled by gangs and riddled with drug violence.",2019.0,November,['action & adventure'],['united states'],True,False
569355,hamburger hill,john irvin,"anthony barille, michael boatman, don cheadle, michael dolan, don james, dylan mcdermott, michael a. nickles, harry o'reilly, daniel o'shea, tim quill, tommy swerdlow, courtney b. vance, steven weber, tegan west",united states,2019-11-23,1987,r,110 min,"action & adventure, dramas",the vietnam war's horrors come brutally to life through the eyes of american soldiers trying to take a heavily fortified hill under vietcong control.,2019.0,November,"['action & adventure', 'dramas']",['united states'],True,False
81208888,once upon a time in lingjian mountain,no director listed,"xu kai, sandrine pinna, ryan zhu, gao yuer, cristy guo, he wenjun, zheng yawen, li junhao, roger kwok, james wen",china,2019-11-23,2019,tv-pg,1 season,"international tv shows, tv comedies, tv sci-fi & fantasy","as the nine continents face a crisis, a young disciple joins the spirit blade sect and comes under the tutelage of a temperamental sage.",2019.0,November,"['international tv shows', 'tv comedies', 'tv sci-fi & fantasy']",['china'],False,True
60022645,the time machine,simon wells,"guy pearce, samantha mumba, jeremy irons, mark addy, sienna guillory, phyllida law, alan young, omero mumba, yancey arias, orlando jones","united states, united arab emirates",2019-11-23,2002,pg-13,96 min,"action & adventure, sci-fi & fantasy","based on the h.g. wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.",2019.0,November,"['action & adventure', 'sci-fi & fantasy']","['united states', 'united arab emirates']",True,False
80198859,brother,julien abraham,"mhd, darren muselet, aïssa maïga, jalil lespert, youssouf gueye, hiam abbass, lisette malidor",france,2019-11-22,2019,tv-ma,97 min,"dramas, independent movies, international movies","thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",2019.0,November,"['dramas', 'independent movies', 'international movies']",['france'],True,False
80216180,dino girl gauko,no director listed,"naoko matsui, hiroshi kamiya, kazue ikura, chafurin, chie kojiro, mari mashiba, ryoko shiraishi, hidekatsu shibata, tadashi miyazawa, sonosuke hattori, karen, yui toita, izu konishi, eri ozaki, risa nakamura, tomoyo chujo, takuro hijioka, sawako yoshida, chika okubo, yuri fujiwara, tomomi yamakawa, hikaru yuki, miyako kobayashi, mutsuki arisawa, koharu nogata, tomoka kuzutani, madoka yokoyama, madoka hiraide, ayako takamura, yuki arimoto, yuto kazama, arisa takami, chika sakamoto","united states, japan",2019-11-22,2019,tv-y7-fv,1 season,"anime series, kids' tv","when she gets angry, middle schooler naoko turns into fierce dinosaur gauko! thanks to friends, aliens and more, her life is full of wacky incidents.",2019.0,November,"['anime series', ""kids' tv""]","['united states', 'japan']",False,True
80244846,dolly parton's heartstrings,no director listed,"dolly parton, julianne hough, kimberly williams-paisley, dallas roberts, melissa leo, andy mientus, katie stevens, michael j. willett, aidan langford, ray mckinnon, delta burke, gerald mcraney, ben lawson, brooke elliott, michele weaver, tim reid, sarah shahi, rochelle aytes, jessica collins, tammy lynn michaels, robert taylor, holly taylor, shane paul mcghie, mary lane haskell, camryn manheim, bellamy young, patricia wettig, timothy busfield, tom brittney, virginia gardner, colin o'donoghue, willa fitzgerald, david denman, vanessa rubio, mac davis, kathleen turner, ginnifer goodwin, kyle bornheimer, tyler crumley, mary donnelly haskell, ed amatrudo",united states,2019-11-22,2019,tv-14,1 season,tv dramas,"eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by dolly parton's iconic country music catalog.",2019.0,November,['tv dramas'],['united states'],False,True
80159876,girls und panzer der film,tsutomu mizushima,"mai fuchigami, ai kayano, mami ozaki, ikumi nakagami, yuka iguchi, misato fukuen, mikako takahashi, kana ueda, mika kikuchi, maya yoshioka",japan,2019-11-22,2015,tv-14,121 min,"action & adventure, anime features, international movies",the girls of ōarai high must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.,2019.0,November,"['action & adventure', 'anime features', 'international movies']",['japan'],True,False
80233258,high seas,no director listed,"ivana baquero, jon kortajarena, alejandra onieva, eloy azorín, chiqui fernández, tamar novas, daniel lundh, manuela vellés, natalia rodríguez, laura prats, ignacio montes, begoña vargas, luis bermejo, pepe ocio, ben temple, félix gómez, antonio durán 'morris', eduardo blanco, josé sacristán",spain,,2019,tv-ma,2 seasons,"crime tv shows, international tv shows, spanish-language tv shows",two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from spain to brazil in the 1940s.,,,"['crime tv shows', 'international tv shows', 'spanish-language tv shows']",['spain'],False,True
70091304,mike birbiglia: what i should have said was nothing: tales from my secret public journal,no director listed,mike birbiglia,united states,2019-11-22,2008,tv-14,56 min,stand-up comedy,mike birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,2019.0,November,['stand-up comedy'],['united states'],True,False
81019894,nailed it! holiday!,no director listed,"nicole byer, jacques torres",united states,,2019,tv-pg,2 seasons,reality tv,"it's the ""nailed it!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",,,['reality tv'],['united states'],False,True
81169145,narcoworld: dope stories,no director listed,no cast listed,united states,2019-11-22,2019,tv-ma,1 season,"crime tv shows, docuseries","ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.",2019.0,November,"['crime tv shows', 'docuseries']",['united states'],False,True
80244700,nobody's looking,no director listed,"victor lamoglia, júlia rabello, kéfera buchmann, augusto madeira, danilo de moura, leandro ramos, telma souza, priscila sol, wallie ruy, maurício de barros, hermínio ribeiro",brazil,2019-11-22,2019,tv-ma,1 season,"international tv shows, tv comedies, tv dramas","a new guardian ""angelus"" uncovers a secret behind the angelus system's bureaucracy that leads him to break its official rules about protecting humans.",2019.0,November,"['international tv shows', 'tv comedies', 'tv dramas']",['brazil'],False,True
81218074,shelby american,"nate adams, adam carolla",carroll shelby,united states,2019-11-22,2019,tv-14,119 min,"documentaries, sports movies","featuring interviews and vintage footage, this documentary traces american icon carroll shelby's life of reinvention from farmer to racer to entrepreneur.",2019.0,November,"['documentaries', 'sports movies']",['united states'],True,False
80245262,singapore social,no director listed,"nicole ong, mae tan, sukki singapora, vinny sharp, paul foster, tabitha nauser","singapore, united states",2019-11-22,2019,tv-ma,1 season,"international tv shows, reality tv","peer into the lives of young singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.",2019.0,November,"['international tv shows', 'reality tv']","['singapore', 'united states']",False,True
80212245,the dragon prince,no director listed,"jack de sena, paula burrows, sasha rojen, jason simpson, racquel belmonte, jesse inocalla, luc roderique, jonathan holmes, adrian petriw","united states, canada",,2019,tv-y7-fv,3 seasons,"kids' tv, tv action & adventure, tv sci-fi & fantasy",an extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,,,"[""kids' tv"", 'tv action & adventure', 'tv sci-fi & fantasy']","['united states', 'canada']",False,True
80117560,trolls: the beat goes on!,no director listed,"amanda leighton, skylar astin, ron funches, david fynn, david koechner, david kaye, sean t. krishnan, sam lerner, patrick pinney, kevin michael richardson, kari wahlgren, fryda wolff",united states,,2019,tv-g,8 seasons,"kids' tv, tv comedies","as queen poppy welcomes a new time of peace in troll village with parties, sports and holiday celebrations, branch tries to be more fun-loving.",,,"[""kids' tv"", 'tv comedies']",['united states'],False,True
60023606,k-19: the widowmaker,kathryn bigelow,"harrison ford, liam neeson, peter sarsgaard, sam spruell, joss ackland, peter stebbings, christian camargo, sam redford, john shrapnel, donald sumpter","united kingdom, germany, canada, united states",2019-11-21,2002,pg-13,138 min,"action & adventure, dramas","on board russia's first nuclear ballistic submarine, capt. vostrikov must race against time to prevent a chernobyl-like explosion.",2019.0,November,"['action & adventure', 'dramas']","['united kingdom', 'germany', 'canada', 'united states']",True,False
80241539,mortel,no director listed,"carl malapa, nemo schiffman, manon bresch, corentin fila, anaïs thomas, firmine richard, raphaëlle agogué, marvin dubart, léa léviant, assa sylla, stéphane brel",france,2019-11-21,2019,tv-ma,1 season,"crime tv shows, international tv shows, tv dramas","after making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder.",2019.0,November,"['crime tv shows', 'international tv shows', 'tv dramas']",['france'],False,True
81026188,the knight before christmas,monika mitchell,"vanessa hudgens, josh whitehouse, emmanuelle chriqui, harry jarvis, mimi gianopulos, ella kenion, jean-michel le gal, arnold pinnock",united states,2019-11-21,2019,tv-14,93 min,"children & family movies, comedies, romantic movies","medieval magic sends a 14th-century knight to modern-day ohio, where he falls for a high school science teacher who's disillusioned by love.",2019.0,November,"['children & family movies', 'comedies', 'romantic movies']",['united states'],True,False
70267398,adore,anne fontaine,"naomi watts, robin wright, xavier samuel, james frecheville, ben mendelsohn, jessica tovey, sophie lowe, gary sweet, alyson standen, skye sutherland, sarah henderson","australia, france",2019-11-20,2013,r,111 min,"dramas, independent movies, international movies","when lifelong friends roz and lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",2019.0,November,"['dramas', 'independent movies', 'international movies']","['australia', 'france']",True,False
81152643,bangkok buddies,no director listed,"vayu kessuvit, ekapol deebunmee, nuttapong boonyuen, thanadol auepongs, martin sidel, nichaphat chatchaipholrat, narupornkamol chaisang, jidapa siribunchawan, hortnarong teng, everest moe, le trung hieu",country not specified,2019-11-20,2019,tv-14,1 season,"international tv shows, tv comedies, tv dramas","living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.",2019.0,November,"['international tv shows', 'tv comedies', 'tv dramas']",['country not specified'],False,True
80108983,be somebody,joshua caldwell,"matthew espinosa, sarah jeffery, allison paige, tava smiley, caitlin keats, lamonica garrett, mahaley patel, mason mcculley, liana ramirez",united states,2019-11-20,2016,pg,88 min,"comedies, dramas, romantic movies","to escape the stress of fame, teen pop star jordan goes incognito in a small town, where he forms a special bond with high school art student emily.",2019.0,November,"['comedies', 'dramas', 'romantic movies']",['united states'],True,False
292118,beavis and butt-head do america,mike judge,"mike judge, bruce willis, demi moore, cloris leachman, robert stack, jacqueline barba, pamela blair, eric bogosian, kristofor brown, tony darling, david letterman",united states,2019-11-20,1996,pg-13,81 min,"comedies, cult movies","after realizing that their boob tube is gone, beavis and butt-head set off on an expedition that takes them from las vegas to the nation's capital.",2019.0,November,"['comedies', 'cult movies']",['united states'],True,False
70003046,bebe's kids,bruce w. smith,"faizon love, vanessa bell calloway, wayne collins, jonell green, marques houston, tone-loc, myra j., nell carter",united states,2019-11-20,1992,pg-13,73 min,comedies,"when ladies' man robin meets jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend bebe's three kids.",2019.0,November,['comedies'],['united states'],True,False
80221584,"bikram: yogi, guru, predator",eva orner,bikram choudhury,united states,2019-11-20,2019,tv-ma,86 min,documentaries,this documentary charts the rise and fall of hot yoga founder bikram choudhury as his global empire is born and disturbing revelations come to light.,2019.0,November,['documentaries'],['united states'],True,False
70053833,black snake moan,craig brewer,"samuel l. jackson, christina ricci, justin timberlake, s. epatha merkerson, john cothran, david banner, michael raymond-james, adriane lenox, kim richards, neimus k. williams",united states,2019-11-20,2007,r,116 min,"dramas, independent movies","lazarus finds rae beaten and near death, and acts as a father figure to help redeem her. but before saving anyone, lazarus must face his own demons.",2019.0,November,"['dramas', 'independent movies']",['united states'],True,False
